Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00        1     0.00     0.00  jbwm_open_font
  0.00      0.01     0.00        1     0.00     0.00  jbwm_parse_command_line
  0.00      0.01     0.00        1     0.00     0.00  jbwm_set_fullscreen
  0.00      0.01     0.00        1     0.00     0.00  jbwm_set_not_fullscreen
  0.00      0.01     0.00        1     0.00     0.00  remove_title_bar
  0.00      0.01     0.00        1     0.00     0.00  set_current_desktop
  0.00      0.01     0.00        1     0.00     0.00  set_desktop_geometry
  0.00      0.01     0.00        1     0.00     0.00  set_desktop_viewport
  0.00      0.01     0.00        1     0.00     0.00  set_ewmh_client_list
  0.00      0.01     0.00        1     0.00     0.00  set_ewmh_supported
  0.00      0.01     0.00        1     0.00     0.00  set_fullscreen
  0.00      0.01     0.00        1     0.00     0.00  set_not_fullscreen
  0.00      0.01     0.00        1     0.00     0.00  set_not_shaded
  0.00      0.01     0.00        1     0.00     0.00  set_number_of_desktops
  0.00      0.01     0.00        1     0.00     0.00  set_shaded
  0.00      0.01     0.00        1     0.00     0.00  set_virtual_roots
  0.00      0.01     0.00        1     0.00     0.00  setup_clients
  0.00      0.01     0.00        1     0.00     0.00  setup_event_listeners
  0.00      0.01     0.00        1     0.00     0.00  setup_gc

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2017 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 99.97% of 0.01 seconds

index % time    self  children    called     name
                0.01    0.00       9/9           jbwm_drag [2]
[1]    100.0    0.01    0.00       9         drag_event_loop [1]
                0.00    0.00    1804/1813        draw_outline [8]
                0.00    0.00     578/578         set_size [17]
                0.00    0.00     324/324         set_position [25]
                0.00    0.00       9/9           query_pointer [88]
-----------------------------------------------
                0.00    0.00       4/9           handle_title_bar_button [6]
                0.00    0.01       5/9           jbwm_handle_button_event [3]
[2]    100.0    0.00    0.01       9         jbwm_drag [2]
                0.01    0.00       9/9           drag_event_loop [1]
                0.00    0.00       9/9           grab_pointer [85]
                0.00    0.00       9/1813        draw_outline [8]
                0.00    0.00       9/180         jbwm_move_resize [38]
                0.00    0.00       5/39          jbwm_warp [62]
-----------------------------------------------
                0.00    0.01       9/9           jbwm_events_loop [4]
[3]    100.0    0.00    0.01       9         jbwm_handle_button_event [3]
                0.00    0.01       5/9           jbwm_drag [2]
                0.00    0.00       4/4           handle_title_bar_button [6]
-----------------------------------------------
                0.00    0.01       1/1           main [5]
[4]    100.0    0.00    0.01       1         jbwm_events_loop [4]
                0.00    0.01       9/9           jbwm_handle_button_event [3]
                0.00    0.00    1145/1176        jbwm_get_head_client [10]
                0.00    0.00    1115/1123        jbwm_find_client [11]
                0.00    0.00     509/509         jbwm_handle_PropertyNotify [19]
                0.00    0.00     161/161         jbwm_handle_EnterNotify [39]
                0.00    0.00     108/108         jbwm_handle_ConfigureNotify [42]
                0.00    0.00      70/70          jbwm_handle_Expose [53]
                0.00    0.00      64/64          jbwm_handle_key_event [55]
                0.00    0.00      30/30          jbwm_ewmh_update_client_list [73]
                0.00    0.00       7/7           jbwm_handle_ConfigureRequest [105]
                0.00    0.00       5/5           jbwm_handle_MapRequest [110]
                0.00    0.00       2/2           jbwm_client_free [121]
-----------------------------------------------
                                                 <spontaneous>
[5]    100.0    0.00    0.01                 main [5]
                0.00    0.01       1/1           jbwm_events_loop [4]
                0.00    0.00       1/1           jbwm_open_display [136]
                0.00    0.00       1/1           jbwm_parse_command_line [138]
                0.00    0.00       1/1           jbwm_open_font [137]
                0.00    0.00       1/1           jbwm_init_screens [135]
-----------------------------------------------
                0.00    0.00       4/4           jbwm_handle_button_event [3]
[6]     44.4    0.00    0.00       4         handle_title_bar_button [6]
                0.00    0.00       4/9           jbwm_drag [2]
-----------------------------------------------
                0.00    0.00    3100/3100        jbwm_snap_dim [13]
[7]      0.0    0.00    0.00    3100         absmin [7]
-----------------------------------------------
                0.00    0.00       9/1813        jbwm_drag [2]
                0.00    0.00    1804/1813        drag_event_loop [1]
[8]      0.0    0.00    0.00    1813         draw_outline [8]
-----------------------------------------------
                0.00    0.00    1432/1432        sborderdir [15]
[9]      0.0    0.00    0.00    1432         sborder [9]
-----------------------------------------------
                0.00    0.00       8/1176        get_JBWMClient [90]
                0.00    0.00       8/1176        handle_xerror [170]
                0.00    0.00      15/1176        cond_set_vdesk [79]
                0.00    0.00    1145/1176        jbwm_events_loop [4]
[10]     0.0    0.00    0.00    1176         jbwm_get_head_client [10]
-----------------------------------------------
                                3414             jbwm_find_client [11]
                0.00    0.00       8/1123        handle_xerror [170]
                0.00    0.00    1115/1123        jbwm_events_loop [4]
[11]     0.0    0.00    0.00    1123+3414    jbwm_find_client [11]
                                3414             jbwm_find_client [11]
-----------------------------------------------
                0.00    0.00    1100/1100        snap_search [26]
[12]     0.0    0.00    0.00    1100         snap_cond [12]
-----------------------------------------------
                0.00    0.00     775/775         snap_search [26]
[13]     0.0    0.00    0.00     775         jbwm_snap_dim [13]
                0.00    0.00    3100/3100        absmin [7]
-----------------------------------------------
                0.00    0.00     759/759         move_buttons [32]
[14]     0.0    0.00    0.00     759         mv [14]
-----------------------------------------------
                0.00    0.00     716/716         jbwm_snap_border [23]
[15]     0.0    0.00    0.00     716         sborderdir [15]
                0.00    0.00    1432/1432        sborder [9]
-----------------------------------------------
                0.00    0.00     648/648         jbwm_snap_client [24]
[16]     0.0    0.00    0.00     648         snap_dir [16]
-----------------------------------------------
                0.00    0.00     578/578         drag_event_loop [1]
[17]     0.0    0.00    0.00     578         set_size [17]
-----------------------------------------------
                0.00    0.00       1/531         jbwm_init_screens [135]
                0.00    0.00       8/531         wm_desktop [103]
                0.00    0.00      83/531         jbwm_ewmh_remove_state [45]
                0.00    0.00     186/531         jbwm_handle_mwm_hints [35]
                0.00    0.00     253/531         jbwm_get_title [31]
[18]     0.0    0.00    0.00     531         jbwm_get_property [18]
-----------------------------------------------
                0.00    0.00     509/509         jbwm_events_loop [4]
[19]     0.0    0.00    0.00     509         jbwm_handle_PropertyNotify [19]
                0.00    0.00     340/434         jbwm_get_wm_state [21]
                0.00    0.00      94/180         jbwm_move_resize [38]
                0.00    0.00       2/254         jbwm_update_title_bar [27]
-----------------------------------------------
                0.00    0.00     434/434         jbwm_get_wm_state [21]
[20]     0.0    0.00    0.00     434         get_atom [20]
-----------------------------------------------
                0.00    0.00      94/434         jbwm_set_wm_state [43]
                0.00    0.00     340/434         jbwm_handle_PropertyNotify [19]
[21]     0.0    0.00    0.00     434         jbwm_get_wm_state [21]
                0.00    0.00     434/434         get_atom [20]
-----------------------------------------------
                0.00    0.00       5/359         set_property [111]
                0.00    0.00       8/359         wm_desktop [103]
                0.00    0.00       8/359         jbwm_ewmh_set_allowed_actions [95]
                0.00    0.00      15/359         jbwm_set_vdesk [80]
                0.00    0.00      75/359         set_ewmh_property [52]
                0.00    0.00      76/359         set_active_window [48]
                0.00    0.00      78/359         jbwm_ewmh_remove_state [45]
                0.00    0.00      94/359         jbwm_set_wm_state [43]
[22]     0.0    0.00    0.00     359         jbwm_set_property [22]
-----------------------------------------------
                0.00    0.00      34/358         commit_key_move [63]
                0.00    0.00     324/358         jbwm_snap_client [24]
[23]     0.0    0.00    0.00     358         jbwm_snap_border [23]
                0.00    0.00     716/716         sborderdir [15]
-----------------------------------------------
                0.00    0.00     324/324         set_position [25]
[24]     0.0    0.00    0.00     324         jbwm_snap_client [24]
                0.00    0.00     648/648         snap_dir [16]
                0.00    0.00     324/324         snap_search [26]
                0.00    0.00     324/358         jbwm_snap_border [23]
-----------------------------------------------
                0.00    0.00     324/324         drag_event_loop [1]
[25]     0.0    0.00    0.00     324         set_position [25]
